"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Berhampurdevelopmentauthority","BP-BED-2022-03-18-001823","BPA1","2022-03-18","2022-03-18","APPROVED","BP/BED/000093","2022-04-07"
"Rourkela","BP-RRK-2022-03-14-001653","BPA1","2022-03-14","2022-03-14","APPROVED","BP/RRK/000083","2022-03-31"
"Bhubaneswar","BP-BMC-2022-04-07-002302","BPA1","2022-04-07","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-04-002194","BPA1","2022-04-04","2022-04-04","APPROVED","BP/BED/000156","2022-05-04"
"Berhampurdevelopmentauthority","BP-BED-2022-04-30-003063","BPA1","2022-04-30","2022-05-05","APPROVED","BP/BED/000189","2022-05-13"
"Bhubaneswar","BP-BMC-2022-03-14-001686","BPA1","2022-03-14","2022-03-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-22-001879","BPA1","2022-03-22","2022-03-25","APPROVED","BP/RRK/000097","2022-04-09"
"Bhubaneswar","BP-BMC-2022-04-09-002382","BPA1","2022-04-09","2022-04-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002087","BPA1","2022-03-31","2022-04-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-04-07-002340","BPA1","2022-04-07",NULL,"FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-22-001875","BPA1","2022-03-22","2022-03-22","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-04-003176","BPA1","2022-05-04","2022-05-04","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampur","BP-BAM-2022-03-16-001782","BPA1","2022-03-16","2022-03-16","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002088","BPA1","2022-03-31",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-02-000653","BPA1","2022-02-02","2022-02-04","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-30-002022","BPA2","2022-03-30","2022-04-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001207","BPA3","2022-02-26","2022-03-02","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
